id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46049905,"Cozy 1BR, steps to metro, U.S. Capitol & more",257539140,Tran,,"Capitol Hill, Lincoln Park",38.88502,-77.00531,Entire home/apt,114,1,12,2021-09-06,2.88,8,326,12,
46052194,Work Here ♚ Swimming Pool ♚ King Bed,242384147,Almarin Suites,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90263,-76.98014,Entire home/apt,96,7,5,2021-09-01,2.46,6,163,5,
46052718,Work Here ♚ Pool ♚ Garage Parking Available,242384147,Almarin Suites,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90219,-76.97972,Entire home/apt,96,7,2,2021-07-31,0.79,6,171,2,
46054151,Colorful Classic 4BR Eckington Rowhouse w/ Parking,26392545,Eli,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91751,-77.00568,Entire home/apt,200,6,7,2021-08-07,0.72,3,13,7,
46060536,Illinois Place,298644807,Djaima,,"Brightwood Park, Crestwood, Petworth",38.95361,-77.02564,Entire home/apt,200,1,0,,,2,229,0,
46064521,Unique Office/living space in Upper Georgetown,141344806,Mia,,"Cathedral Heights, McLean Gardens, Glover Park",38.91922,-77.07136,Entire home/apt,175,2,0,,,3,85,0,
46070701,D.C. Capitol Colombia Heights,39729921,Brent,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93046,-77.03639,Private room,144,1,32,2021-09-05,11.03,2,170,32,
46071301,Your Oasis in Columbia Heights,36088770,Rick,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93303,-77.0292,Entire home/apt,83,2,30,2021-09-02,19.57,5,42,30,
46071788,Mintwood Place B @ AdamsMorgan,33681076,Maryam,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9219,-77.04354,Entire home/apt,85,2,20,2021-08-14,1.89,2,324,20,
46082907,"Enviable Logan Circle 1BR w/ W/D, Roof BBQ, walk to Metro, by Blueground",107434423,Blueground,,"Shaw, Logan Circle",38.90966,-77.03309,Entire home/apt,165,30,0,,,133,303,0,
46083178,"Parisienne Suite, your Swann House Retreat in DC!",285388250,Swann,,"Dupont Circle, Connecticut Avenue/K Street",38.91559,-77.04018,Private room,424,1,0,,,2,353,0,
46083668,"Smart Logan Circle 1BR w/ W/D, Roof BBQ, walk to Metro, by Blueground",107434423,Blueground,,"Shaw, Logan Circle",38.90887,-77.03397,Entire home/apt,312,30,0,,,133,348,0,
46094022,A small efficiency in a convenient location,58513354,Mohammad,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90461,-77.02786,Entire home/apt,58,1,0,,,1,0,0,
46106600,Adams Morgan/U St. 1 Month Minimum Stay,69203193,Leyla & Matt,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91977,-77.03684,Entire home/apt,80,30,4,2021-08-22,0.65,32,272,4,
46108910,5 Bedroom TH newly furnished in Columbia Heights,36088770,Rick,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93434,-77.03102,Entire home/apt,155,2,40,2021-08-22,3.87,5,33,40,
46120474,1 MONTH & LONGER Stays -Entire Apt in Adams Morgan,69203193,Leyla & Matt,,"Dupont Circle, Connecticut Avenue/K Street",38.91802,-77.03662,Entire home/apt,80,30,1,2020-12-05,0.10,32,300,1,
46130062,"Generous Logan Circle 2BR w/ W/D, Roof BBQ, walk to Metro, by Blueground",107434423,Blueground,,"Shaw, Logan Circle",38.91024,-77.0345,Entire home/apt,232,30,0,,,133,258,0,
46136043,Bright Brookland Basement Suite and Garden,259636556,Teresita,,"North Michigan Park, Michigan Park, University Heights",38.94095,-76.99225,Entire home/apt,77,1,56,2021-09-12,7.37,1,122,56,
46136753,Two bed Townhouse full of light,10151469,Stephen,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90577,-76.9957,Entire home/apt,90,4,0,,,1,0,0,
46138649,Home School Here | 5BR | Fast Wifi| Fort Totten Metro,309751108,Cohostedby,,"Takoma, Brightwood, Manor Park",38.95681,-77.00825,Entire home/apt,370,4,14,2021-09-09,1.54,3,0,14,
46141540,"Merhaba House - City Home, Suburbs Charm",106426179,Deb,,"Takoma, Brightwood, Manor Park",38.96795,-77.02482,Entire home/apt,190,7,5,2021-06-07,0.55,8,73,5,
46146369,Private room in nice home with garden.,1569728,V,,"Mayfair, Hillbrook, Mahaning Heights",38.90005,-76.94392,Private room,45,2,0,,,3,365,0,
46150179,Private Rowhouse in Shaw neighborhood,177718862,Nicole,,"Shaw, Logan Circle",38.90924,-77.01657,Entire home/apt,64,4,1,2020-11-08,0.10,1,0,1,
46160181,2 Bedroom 1 Bath w/parking,21701933,Andy,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92062,-77.01295,Entire home/apt,222,2,8,2021-08-15,0.77,1,135,8,
46163269,High-end apartment in the heart of DC,185152492,Sam,,"West End, Foggy Bottom, GWU",38.90575,-77.05127,Entire home/apt,145,29,0,,,1,48,0,
46178690,Classic & Charming Row House-Sleeps 10 w/Parking!,374098287,Gerred,,"Union Station, Stanton Park, Kingman Park",38.89379,-76.98779,Entire home/apt,1200,1,0,,,2,0,0,
46179614,Outdoor Bonfire Bar Nature Lounge Backyard,17115030,Katie,,"Brookland, Brentwood, Langdon",38.92499,-76.96925,Entire home/apt,350,1,3,2021-06-06,0.35,2,25,3,
46191688,Condo+Loft 6 blocks from White House,169576592,Andrew,,"Dupont Circle, Connecticut Avenue/K Street",38.91081,-77.04043,Entire home/apt,2000,3,0,,,1,0,0,
46193587,Sojourn 1105 E Capitol Street SE,39930655,Team,,"Capitol Hill, Lincoln Park",38.88838,-76.99152,Entire home/apt,211,30,0,,,147,332,0,
46193603,Sojourn 114 F Street SE,39930655,Team,,"Capitol Hill, Lincoln Park",38.88189,-77.00627,Entire home/apt,161,30,0,,,147,362,0,
46193861,Immaculate Georgetown East Village townhouse,326152642,Ashley,,"Georgetown, Burleith/Hillandale",38.90838,-77.05627,Entire home/apt,350,7,3,2021-08-08,0.68,1,0,3,
46194766,Elegant newly renovated  2BR/2BA in 14th Street DC,21446876,Amanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92343,-77.03029,Entire home/apt,125,2,0,,,2,0,0,
46231785,Entire Nature Getaway Fire Pit Home,17115030,Katie,,"Brookland, Brentwood, Langdon",38.92575,-76.96917,Entire home/apt,203,2,20,2021-09-11,2.26,2,142,20,
46232948,Quiet English Basement Near National Zoo,67208614,William,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92967,-77.04295,Entire home/apt,250,3,0,,,1,61,0,
46234631,Entire apartment for you | 2BR in Washington,368944610,Carolyn,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92104,-77.03229,Entire home/apt,310,91,0,,,54,365,0,
46238354,A place of your own | 2BR in Washington,359230893,Carolyn,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95287,-77.00151,Entire home/apt,160,90,0,,,53,364,0,
46242585,Inauguration Day  Capitol & National Mall/Parking,1333527,Maria,,"Union Station, Stanton Park, Kingman Park",38.90321,-77.00239,Entire home/apt,450,7,0,,,1,0,0,
46253554,citizenM Washington DC Capitol,374527046,CitizenM,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.882860272828765,-77.019193108707,Hotel room,0,1,109,2021-08-22,14.73,1,0,109,
46259816,Comfortable 3Br/3.5Ba home near metro,30617329,Daniela,,"Takoma, Brightwood, Manor Park",38.9562,-77.01046,Entire home/apt,150,3,0,,,3,0,0,
46262352,Comfortable 2Br/2.5Ba home near metro,30617329,Daniela,,"Takoma, Brightwood, Manor Park",38.95564,-77.01035,Entire home/apt,120,60,0,,,3,0,0,
46276795,Sonder | Callisto | Studio Apartment,219493221,Sonder (D.C.),,"Near Southeast, Navy Yard",38.87602,-76.99419,Entire home/apt,128,2,8,2021-08-06,1.44,15,219,8,
46277339,Sonder | Callisto | Spacious Studio Apartment,219493221,Sonder (D.C.),,"Near Southeast, Navy Yard",38.87779,-76.99489,Entire home/apt,138,2,22,2021-09-01,15.35,15,255,22,
46288510,Beautiful Private In-law Suite,43723905,Lisa,,"Brightwood Park, Crestwood, Petworth",38.94114,-77.01634,Entire home/apt,130,2,0,,,3,362,0,
46289608,Private room #8 few minutes to Metro in D.C,12166019,Yousong & Sharon,,"Mayfair, Hillbrook, Mahaning Heights",38.89849,-76.94633,Private room,38,5,0,,,7,167,0,
46293888,BRAND NEW Cozy Apt in Mt. Pleasant,125855620,Kristin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93162,-77.04219,Entire home/apt,125,3,2,2020-12-21,0.20,1,258,2,
46295227,Victorian Spirit - jewel of Washington DC,29184455,Tedd,,"Dupont Circle, Connecticut Avenue/K Street",38.90688,-77.04631,Entire home/apt,338,5,0,,,4,365,0,
46295308,Inauguration Home Base in Vibrant Adams Morgan,41287764,Jodi,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9233,-77.0432,Entire home/apt,200,1,0,,,1,0,0,
46295929,Incredible Location + View + Price -ALL DC Access,361618375,Zain,,"West End, Foggy Bottom, GWU",38.89971,-77.05453,Entire home/apt,198,3,0,,,2,164,0,
46296757,Sunny New 3 Bed Condo in Union Market District,55009,Mala,,"Union Station, Stanton Park, Kingman Park",38.90323,-76.99222,Entire home/apt,141,2,17,2021-08-06,10.85,10,325,17,
46297647,The District by Hilton Club,104506827,Noble,,"West End, Foggy Bottom, GWU",38.90656,-77.04872,Private room,500,3,0,,,4,267,0,
46298082,Gorgeous Modern 3 Bed Condo near Union Market DC,55009,Mala,,"Union Station, Stanton Park, Kingman Park",38.90226,-76.99287,Entire home/apt,141,2,23,2021-08-23,18.65,10,254,23,
46299834,Charming home in Historic Capitol Hill,77741012,Jeffrey,,"Capitol Hill, Lincoln Park",38.88858,-76.98303,Entire home/apt,573,4,0,,,2,358,0,
46300304,Union Market Garden Studio,22731277,Mark,,"Union Station, Stanton Park, Kingman Park",38.90484,-77.00051,Shared room,147,1,0,,,3,364,0,
46304909,North Capitol Hill house,39378038,Amira,,"Union Station, Stanton Park, Kingman Park",38.89546,-76.98045,Entire home/apt,500,3,0,,,3,0,0,
46306888,"Cozy, Private Unit + Free Gated Parking",374843181,Jeffrey,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91721,-77.00141,Entire home/apt,75,1,65,2021-09-12,6.84,1,38,65,
