id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
33708564,Capitol Hill 2-story rowhouse - Cari's in the City,25969674,Cari,,"Union Station, Stanton Park, Kingman Park",38.90404,-76.99904,Entire home/apt,650,4,0,,,4,114,0,,
33718308,Sojourn on R #301,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.91371,-77.04225,Entire home/apt,299,30,62,7/24/2021,3.13,147,341,13,,4.74
33718594,#Private 5* 1 BR 1BA minutes from NY Avenue,129443521,Lanita,,"Brookland, Brentwood, Langdon",38.9264,-76.97366,Private room,70,1,16,11/8/2020,0.64,1,0,1,,4.5
33721595,Historic Capitol Hill Row Home Premier Location!,5467394,Julie,,"Capitol Hill, Lincoln Park",38.88376,-77.00494,Entire home/apt,375,2,20,9/5/2021,0.8,1,16,5,,5
33722610,Large bedroom in spacious French-themed apt,24346698,Satyam,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93487,-77.03616,Private room,100,1,0,,,1,0,0,,
33766197,Charming Petworth Studio - walker's paradise!,6195074,Leah & Andrew,,"Brightwood Park, Crestwood, Petworth",38.93906,-77.02139,Entire home/apt,79,2,85,8/24/2021,2.99,1,120,37,,4.87
33768875,Vibrant Modern-Boho Style Home Near Downtown,36486329,Nada,,"Eastland Gardens, Kenilworth",38.91037,-76.93955,Entire home/apt,206,2,93,9/1/2021,16.51,1,162,37,,4.83
33769652,New 1 BR Suite with Free Parking,16897313,Charlie & Christian,,"Brookland, Brentwood, Langdon",38.92638,-76.98603,Entire home/apt,89,3,34,9/10/2021,1.45,3,76,1,,4.76
33771524,Sojourn on 5th Unit 202,39930655,Team,,"Capitol Hill, Lincoln Park",38.88084,-76.99944,Entire home/apt,116,2,5,8/6/2021,0.18,147,241,3,,4.6
33772102,Sojourn on 5th Unit 301,39930655,Team,,"Capitol Hill, Lincoln Park",38.88285,-77.00023,Entire home/apt,174,30,3,5/30/2021,0.1,147,316,2,,5
33777876,New 2BRs With Free Parking,16897313,Charlie & Christian,,"Brookland, Brentwood, Langdon",38.9271,-76.9858,Entire home/apt,116,3,16,9/12/2021,0.71,3,76,3,,4.88
33802424,1 Br Modern Condo,118244024,Julian,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93442,-77.03436,Entire home/apt,72,2,123,9/11/2021,4.4,2,8,50,,4.75
33804405,"Charming, Furnished Studio in DC + Rooftop Deck",48005494,Zeus,,"Shaw, Logan Circle",38.90783,-77.02462,Entire home/apt,87,30,3,6/25/2021,0.14,163,272,2,,5
33827412,The Bell On Capitol Hill. Unit A. 3BR 3Bath,65548398,Darryl,,"Union Station, Stanton Park, Kingman Park",38.89532,-77.00173,Entire home/apt,336,3,23,8/7/2021,0.91,6,307,5,,4.87
33829219,"The Bell, on Capitol Hill. Unit B. 3Br 3 Bath",65548398,Darryl,,"Union Station, Stanton Park, Kingman Park",38.8966,-77.00269,Entire home/apt,379,3,45,9/6/2021,1.67,6,266,20,,4.98
33830823,Cozy & modern apt.In the heart of town King Bed❤️,21570891,Marsh,,"Georgetown, Burleith/Hillandale",38.90545,-77.06246,Entire home/apt,179,1,194,9/11/2021,8.01,8,57,90,,4.88
33832201,"Easter market, Capitol, Union Station",16426452,Ian,,"Capitol Hill, Lincoln Park",38.88226,-76.99085,Entire home/apt,199,1,3,5/2/2019,0.1,1,365,0,,4.67
33844957,Talbert Court /Anacostia SE,183625067,Nigel,,"Sheridan, Barry Farm, Buena Vista",38.86071,-76.98899,Entire home/apt,125,3,4,7/5/2021,0.14,2,177,1,,5
33845781,Talbert Court /Anacostia,183625067,Nigel,,"Sheridan, Barry Farm, Buena Vista",38.8611,-76.98975,Entire home/apt,80,4,4,10/11/2019,0.14,2,0,0,,4.67
33850755,Big Cozy Private Apt; pets welcome; street parking,24336073,David And Lauren,,Historic Anacostia,38.86528,-76.98651,Entire home/apt,59,1,100,9/6/2021,4.81,5,320,47,,4.45
33854482,1000sq. ft. Exquisite Loft Logan Convention Center,253181788,Louis,,"Shaw, Logan Circle",38.90827,-77.02655,Entire home/apt,235,1,200,9/12/2021,7.85,1,322,89,,4.95
33856921,Large Apartment Sleeps Five People - DuPont Circle,225095373,Max,,"Dupont Circle, Connecticut Avenue/K Street",38.91424,-77.03653,Entire home/apt,300,2,24,9/12/2021,11.8,3,350,18,,4.79
33857127,BEAUTIFUL STUDIO in the Heart of Adams Morgan,198612938,Sarah,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9239,-77.04355,Entire home/apt,99,1,65,9/2/2021,2.77,6,147,38,,4.92
33857393,MODERN Studio in the Heart of Adams Morgan,198612938,Sarah,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92422,-77.04318,Entire home/apt,99,1,116,8/30/2021,4.79,6,148,55,,4.82
33879272,Cozy and Spacious 1 Bedroom Apt above U Street,11423044,Eddy,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92132,-77.03529,Entire home/apt,79,3,8,11/30/2019,0.31,1,0,0,,5
33881424,Spacious 1-Bedroom Flat in Foggy Bottom,3474736,Sam,,"West End, Foggy Bottom, GWU",38.90288,-77.05146,Entire home/apt,128,1,80,8/29/2021,3.13,6,77,41,,4.84
33882534,Comfortable & Spacious 2Bedroom 1Bathroom,255873015,Yeme,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93173,-77.02902,Entire home/apt,120,1,133,8/29/2021,4.73,1,15,47,,4.71
33907708,Stay Steps from the H Street Corridor,44630686,Davon,,"Union Station, Stanton Park, Kingman Park",38.89872,-76.98528,Entire home/apt,158,2,30,3/13/2020,1.07,1,0,0,,4.8
33909051,Newly renovated 1 bedroom apartment in Georgetown,4973514,Asmeen,,"Georgetown, Burleith/Hillandale",38.9099,-77.06449,Entire home/apt,130,2,68,9/5/2021,2.8,1,0,24,,4.96
33911319,Luxury contemporary stylish rowhouse +free parking,232895115,Chima,,"River Terrace, Benning, Greenway, Dupont Park",38.89146,-76.95152,Entire home/apt,359,2,39,8/22/2021,1.51,2,340,13,,4.72
33934030,DC Oasis in the heart of Dupont!,94694596,Cecilia,,"Dupont Circle, Connecticut Avenue/K Street",38.9142,-77.04418,Entire home/apt,349,3,30,9/10/2021,1.03,3,17,9,,4.9
33942492,Light-filled studio in hip Petworth neighborhood,69845083,Jim,,"Brightwood Park, Crestwood, Petworth",38.94502,-77.02306,Entire home/apt,58,7,4,6/30/2021,0.65,1,73,4,,4.75
33972170,"Historic 1BD Steps to Capitol, Metro & Everything",255486813,Christine,,"Capitol Hill, Lincoln Park",38.88499,-77.0061,Entire home/apt,150,3,66,9/5/2021,2.51,1,117,26,,4.97
33990610,Light and bright Dupont Circle Studio Apt,62323009,Christine,,"Dupont Circle, Connecticut Avenue/K Street",38.91391,-77.04426,Entire home/apt,100,2,12,9/29/2019,0.41,1,0,0,,4.83
33996319,Bright 2 bdrm Apt Great location! Family friendly,74628705,Genet,,"Howard University, Le Droit Park, Cardozo/Shaw",38.92038,-77.02857,Entire home/apt,189,3,15,8/27/2021,0.57,3,83,8,,4.8
33997170,Sojourn on R #1A,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.91335,-77.04186,Entire home/apt,136,2,37,7/21/2021,1.75,147,333,8,,4.78
34019174,Free gated parking spot in stylish basement apt,3609290,Lauren,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90606,-76.98312,Entire home/apt,109,2,57,9/6/2021,2.23,1,53,22,,4.96
